pincode,village,block,district,state,latitude,longitude
141001,Pakhowal,Ludhiana-I,Ludhiana,Punjab,30.9010,75.8573
143001,Chamiari,Ajnala,Amritsar,Punjab,31.6340,74.8723
462001,Bilkisganj,Phanda,Bhopal,Madhya Pradesh,23.2599,77.4126
452001,Rau,Indore,Indore,Madhya Pradesh,22.7196,75.8577
413001,Kurul,Mohol,Solapur,Maharashtra,17.6599,75.9064
422001,Ozar,Nashik,Nashik,Maharashtra,19.9975,73.7898
431001,Bidkin,Paithan,Chhatrapati Sambhajinagar,Maharashtra,19.8762,75.3433
221001,Chiraigaon,Harahua,Varanasi,Uttar Pradesh,25.3176,82.9739
226001,Kakori,Mall,Lucknow,Uttar Pradesh,26.8467,80.9462
250001,Sardhana,Meerut,Meerut,Uttar Pradesh,28.9845,77.7064
800001,Naubatpur,Patna Sadar,Patna,Bihar,25.5941,85.1376
842001,Kanti,Musahri,Muzaffarpur,Bihar,26.1209,85.3647
577001,Anagodu,Davanagere,Davanagere,Karnataka,14.4644,75.9218
641001,Perur,Thondamuthur,Coimbatore,Tamil Nadu,11.0168,76.9558
302001,Bagru,Sanganer,Jaipur,Rajasthan,26.9124,75.7873
